iBioSim,0,NA,1.87082869338697,2.32139804619735,2.44040069569642,2.07899548393502,2.51440295541948,4.08384350554447,4.60555220479707,5.0651313463281,4.28044649799787
MIST,0.0,0.67494855771055284,1.7669811040931427,2.6267851073127395,2.0110804171997807,2.6687491868330793,2.8460498941515415,2.496664441476534,3.064129385141706,3.3266599866332398,3.4318767136623336
Diff,0.0,0.6749485577105528,0.10384758929382731,0.3053870611153897,0.42932027849663923,0.5897537028980593,0.3316469387320615,1.5871790640679362,1.5414228196553643,1.7384713596948598,0.8485697843355364
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,37,30,28,26,22,19,17,15,15,14
MIST,50.0,39.0,33.0,28.0,25.0,22.0,19.0,15.0,11.0,12.0,14.0
Diff,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,49,47,44,40,38,34,34,32,30,29
MIST,50.0,49.0,47.0,44.0,42.0,39.0,35.0,35.0,34.0,30.0,28.0
Diff,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,44.85,40.42,36.42,33.03,30.57,27.93,25.89,23.92,21.83,20.46
MIST,50.0,44.5,40.43,37.119999999999997,33.719999999999999,31.059999999999999,28.43,26.510000000000002,24.379999999999999,22.48,20.390000000000001
Diff,0.0,0.3500000000000014,0.00999999999999801,0.6999999999999957,0.6899999999999977,0.48999999999999844,0.5,0.620000000000001,0.4599999999999973,0.6500000000000021,0.07000000000000028
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.19905856808285,2.98880064456117,3.18512958999324,2.81573859553472,3.23258348068475,3.30672714998447,3.16513519586144,3.23391122608241,3.39653715517211,3.30111704387677
MIST,0.0,2.2087978356535665,2.8718592858243865,3.3492951165547922,3.7011600693006859,3.3479075328456802,3.7179743588859426,3.6445476087886788,3.5584016386886712,3.4037412571249517,3.3178275720687771
Diff,0.0,0.009739267570716414,0.11694135873678357,0.16416552656155226,0.885421473765966,0.11532405216093,0.4112472089014725,0.4794124129272386,0.3244904126062611,0.007204101952841491,0.016710528192007246
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,34,23,17,13,8,7,6,4,5,4
MIST,50.0,27.0,22.0,18.0,17.0,11.0,9.0,9.0,6.0,5.0,3.0
Diff,0.0,7.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,46,41,36,33,28,25,25,23,20,16
MIST,50.0,46.0,40.0,35.0,34.0,31.0,25.0,22.0,19.0,18.0,15.0
Diff,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,4.0,2.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,39.37,32.25,27.26,23.23,19.49,16.95,14.44,12.57,10.85,9.39
MIST,50.0,39.57,32.130000000000003,27.329999999999998,23.34,19.449999999999999,16.84,14.52,12.48,11.029999999999999,9.6099999999999994
Diff,0.0,0.20000000000000284,0.11999999999999744,0.06999999999999673,0.10999999999999943,0.03999999999999915,0.10999999999999943,0.08000000000000007,0.08999999999999986,0.17999999999999972,0.21999999999999886
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.74379004998266,3.52587835607217,3.43957949038935,3.52438833435153,3.3799617474376,3.61639085668057,3.76941439065604,3.31587854196298,2.80466782634978,2.53419044511679
MIST,0.0,3.4619285802785558,3.427915702085754,3.4671765359313818,3.4879880455730645,3.5057672541690561,3.4778374797212037,3.1797338050074369,2.8656093892429189,2.6834886083438314,2.5141819964177436
Diff,0.0,0.7181385302958958,0.09796265398641602,0.027597045542031573,0.03640028877846557,0.12580550673145607,0.13855337695936631,0.5896805856486029,0.45026915272006107,0.12117921800594855,0.020008448699046166
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,1,4,4,2,1,2,1,2,2
MIST,0.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
Diff,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,12,19,16,14,17,18,14,13,15,12
MIST,0.0,10.0,14.0,14.0,16.0,16.0,18.0,15.0,13.0,11.0,12.0
Diff,0.0,2.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,4.64,7.37,8.84,9.26,8.71,8.33,7.48,7.2,6.89,5.86
MIST,0.0,5.0,7.0499999999999998,7.6900000000000004,8.3100000000000005,8.2100000000000009,7.9100000000000001,7.2000000000000002,6.7999999999999998,6.2999999999999998,6.2199999999999998
Diff,0.0,0.3600000000000003,0.3200000000000003,1.1499999999999995,0.9499999999999993,0.5,0.41999999999999993,0.28000000000000025,0.40000000000000036,0.5899999999999999,0.35999999999999943
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.06226314832256,2.79485457961807,2.6618137660724,2.20934653714896,2.72769188698119,2.79268525063082,2.48827553769978,2.74873708374511,2.83874705609444,2.46601137897053
MIST,0.0,2.1129710042133718,2.5080677902329596,2.6579212656783975,2.5729556953241559,2.6180993954478589,2.9851315048101488,2.6628760937957834,2.1695784629901511,1.9822444171425806,2.1582821451751433
Diff,0.0,0.050707855890811615,0.2867867893851104,0.0038925003940026848,0.3636091581751959,0.10959249153333106,0.1924462541793286,0.17460055609600333,0.579158620754959,0.8565026389518593,0.30772923379538675
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,4,5,8,6,7,7,4,1,3,1
MIST,0.0,4.0,5.0,7.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0
Diff,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,16,22,22,23,22,18,18,15,13,13
MIST,0.0,23.0,20.0,22.0,23.0,20.0,20.0,18.0,16.0,14.0,12.0
Diff,0.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,10.18,13.83,14.34,13.87,13.28,11.59,10.59,9.2,8.02,6.8
MIST,0.0,10.01,14.199999999999999,14.359999999999999,14.0,13.33,11.699999999999999,10.19,8.8699999999999992,7.79,6.75
Diff,0.0,0.16999999999999993,0.3699999999999992,0.019999999999999574,0.13000000000000078,0.05000000000000071,0.10999999999999943,0.40000000000000036,0.33000000000000007,0.22999999999999954,0.04999999999999982
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.62613130984832,3.29693766695671,2.99231338498149,3.10312647814973,2.82513966759418,2.69715525408651,2.74172768652737,2.51861754608244,2.62074089300771,2.40789945761442
MIST,0.0,3.5176179956948657,3.0318178032195791,3.208322510804257,3.0977345909486171,3.0979139282863728,2.8692025429242936,2.8451447212485492,2.6653595281202525,2.2531459488161585,2.3327921450311839
Diff,0.0,0.8914866858465458,0.26511986373713103,0.216009125822767,0.005391887201112944,0.2727742606921928,0.17204728883778353,0.10341703472117914,0.1467419820378124,0.3675949441915516,0.07510731258323622
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,1,1,2,4,5,9,10,14,16
MIST,0.0,0.0,0.0,0.0,2.0,3.0,6.0,7.0,10.0,13.0,16.0
Diff,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2,8,11,17,20,21,24,26,29,32
MIST,0.0,3.0,7.0,11.0,15.0,17.0,23.0,26.0,26.0,29.0,33.0
Diff,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1.24390243902439,2.54022988505747,4.74,7.71,10.72,13.74,16.63,18.88,21.28,23.68
MIST,0.0,0.5,2.52,5.1900000000000004,7.9699999999999998,10.73,13.66,16.289999999999999,18.82,21.219999999999999,23.390000000000001
Diff,0.0,0.74390243902439,0.020229885057470032,0.4500000000000002,0.2599999999999998,0.009999999999999787,0.08000000000000007,0.33999999999999986,0.05999999999999872,0.060000000000002274,0.28999999999999915
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,0.434769352926241,1.49265330871798,1.96237333117557,2.49158178633169,2.94419476738256,3.14504580750633,3.1258291829222,3.29762693983771,3.33357574876097,3.45206715994456
MIST,0.0,0.65904736881610748,1.4176378132996346,2.1541362608486563,2.746733597301612,2.9944561570955881,3.2542745781975793,3.2915410409476022,3.1378433048928054,3.3077197736522512,3.4491837711071138
Diff,0.0,0.22427801588986646,0.07501549541834551,0.19176292967308628,0.255151810969922,0.05026138971302796,0.10922877069124937,0.16571185802540223,0.15978363494490466,0.02585597510871862,0.002883388837445988
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,1,3,6,7,13,16,18,21,25
MIST,0.0,0.0,0.0,2.0,5.0,8.0,10.0,13.0,17.0,23.0,25.0
Diff,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,4,8,14,23,27,31,37,38,41,42
MIST,0.0,2.0,10.0,17.0,21.0,27.0,28.0,34.0,35.0,38.0,42.0
Diff,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0
,,,,,,,,,,,
Stat,Mean,Repetitions,100,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1.25,4,8.4,12.9,17.23,21.46,24.97,28.23,31.13,33.81
MIST,0.0,0.41999999999999998,3.6699999999999999,8.3100000000000005,12.66,17.219999999999999,21.460000000000001,25.289999999999999,28.649999999999999,31.18,33.640000000000001
Diff,0.0,0.8300000000000001,0.33000000000000007,0.08999999999999986,0.2400000000000002,0.010000000000001563,0.0,0.3200000000000003,0.41999999999999815,0.05000000000000071,0.1700000000000017
,,,,,,,,,,,
Stat,STD,Repetitions,100,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,0.603560862122217,1.49224801012142,2.38259683470949,3.09283956351709,3.33289391043007,3.61372244354625,3.61102408597547,3.78421762459601,3.46892409018046,3.17405835873357
MIST,0.0,0.6060303022726895,2.0501539730301506,2.9497303420667271,3.1693608953302377,3.3742339197889861,3.3587515718213106,3.5740224346856535,3.5144003899684089,3.1857637873971307,3.1766827243703659
Diff,0.0,0.0024694401504724572,0.5579059629087306,0.5671335073572372,0.07652133181314769,0.04134000935891624,0.2549708717249395,0.03700165128981636,0.2698172346276011,0.28316030278332915,0.002624365636795911
,,,,,,,,,,,
